sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
917,0.113 882 125,"SysTick","ISR Enter","Runs for 126.625 us",911057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,4721,4,02 0F 93 23 
918,0.113 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",911570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4725,5,06 D0 0C 81 04 
919,0.114 008 750,"SysTick","ISR Exit","Returns to Scheduler",912070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,4730,3,12 F4 03 
920,0.114 072 500,"SystemTask","Task Run","Runs for 129.000 us",912580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,4733,5,04 D0 0C FE 03 
921,0.114 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",913097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,4738,5,23 01 01 85 04 
922,0.114 201 500,"SystemTask","Task Block","Delayed",913612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,4743,6,07 D0 0C 04 83 04 
923,0.114 319 750,"Idle","System Idle","Idle for 689.000 us",914558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,4749,3,11 B2 07 
924,0.114 882 125,"SysTick","ISR Enter","Runs for 126.625 us",919057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,4752,4,02 0F 93 23 
925,0.114 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",919570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,4756,5,06 D0 0C 81 04 
926,0.115 008 750,"SysTick","ISR Exit","Returns to Scheduler",920070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,4761,3,12 F4 03 
927,0.115 072 500,"SystemTask","Task Run","Runs for 129.000 us",920580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,4764,5,04 D0 0C FE 03 
928,0.115 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",921097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,4769,5,23 01 01 85 04 
929,0.115 201 500,"SystemTask","Task Block","Delayed",921612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,4774,6,07 D0 0C 04 83 04 
930,0.115 319 750,"Idle","System Idle","Idle for 689.000 us",922558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,4780,3,11 B2 07 
