sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,3,0A 90 04 
1,0.000 076 375,"Idle","Init","Cycle Freq.: 8000000, CPU Freq.: 8000000, ID Base: 0x20000000, ID Shift: 2",611,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,13,18,18 0E 80 A4 E8 03 80 A4 E8 03 80 80 80 80 02 02 E3 04 
2,0.000 457 625,"Idle","System Description","N=FreeRTOS Escalonador e Tarefa Periodica,D=STM32F103C8T6-M4,O=FreeRTOS",3661,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,31,75,0E 47 4E 3D 46 72 65 65 52 54 4F 53 20 45 73 63 61 6C 6F 6E 61 64 6F 72 20 65 20 54 61 72 65 66 61 20 50 65 72 69 6F 64 69 63 61 2C 44 3D 53 54 4D 33 32 46 31 30 33 43 38 54 36 2D 4D 34 2C 4F 3D 46 72 65 65 52 54 4F 53 EA 17 
3,0.000 622 375,"Idle","System Description","I#15=SysTick",4979,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,106,16,0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B A6 0A 
4,0.000 701 375,"Idle","System Time (us)","0 us",5611,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,122,5,0D 00 00 F8 04 
5,0.001 733 375,"Idle","Task Info","Tarefa_T1 (0x00000518): Priority=0",13867,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,127,16,09 98 0A 00 09 54 61 72 65 66 61 5F 54 31 C0 40 
6,0.001 801 375,"Idle","Stack Info","Tarefa_T1 (0x00000518): 118 @ 0x20001258",14411,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,143,12,15 98 0A D8 A4 80 80 02 76 00 A0 04 
7,0.002 834 625,"Idle","Task Info","Tarefa_T2 (0x000005B4): Priority=0",22677,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,155,16,09 B4 0B 00 09 54 61 72 65 66 61 5F 54 32 CA 40 
8,0.002 902 625,"Idle","Stack Info","Tarefa_T2 (0x000005B4): 118 @ 0x200014C8",23221,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,171,12,15 B4 0B C8 A9 80 80 02 76 00 A0 04 
9,0.002 961 000,"Idle","Num Modules","Registered Modules: 0",23688,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,183,5,1B 01 00 D3 03 
10,0.003 689 375,"Idle","Task Create","SystemTask (0x00000650)",29515,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,188,5,08 D0 0C C3 2D 
11,0.003 833 000,"Idle","Task Info","SystemTask (0x00000650): Priority=8",30664,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,193,17,09 D0 0C 08 0A 53 79 73 74 65 6D 54 61 73 6B FD 08 
12,0.003 904 250,"Idle","Stack Info","SystemTask (0x00000650): 440 @ 0x20001738",31234,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,210,13,15 D0 0C B8 AE 80 80 02 B8 03 00 BA 04 
13,0.003 961 375,"Idle","Task Ready","SystemTask, runs after 4.148 ms",31691,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,223,5,06 D0 0C C9 03 
14,0.004 062 500,"Idle","vTaskPrioritySet","xTask=Tarefa_T1 uxNewPriority=3",32500,0x0000000000000000,0x0000000000000000,0x0000000000000000,40,228,7,28 03 98 0A 03 A9 06 
15,0.004 202 125,"Idle","Task Info","Tarefa_T1 (0x00000518): Priority=3",33617,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,235,16,09 98 0A 03 09 54 61 72 65 66 61 5F 54 31 DD 08 
16,0.004 270 125,"Idle","Stack Info","Tarefa_T1 (0x00000518): 0 @ 0x20001258",34161,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,251,12,15 98 0A D8 A4 80 80 02 00 00 A0 04 
17,0.004 380 125,"Idle","vTaskPrioritySet","xTask=Tarefa_T2 uxNewPriority=2",35041,0x0000000000000000,0x0000000000000000,0x0000000000000000,40,263,7,28 03 B4 0B 02 F0 06 
18,0.004 523 250,"Idle","Task Info","Tarefa_T2 (0x000005B4): Priority=2",36186,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,270,16,09 B4 0B 02 09 54 61 72 65 66 61 5F 54 32 F9 08 
19,0.004 591 250,"Idle","Stack Info","Tarefa_T2 (0x000005B4): 0 @ 0x200014C8",36730,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,286,12,15 B4 0B C8 A9 80 80 02 00 00 A0 04 
20,0.005 206 625,"Idle","Task Create","Task 0xCF (0x000000CF)",41653,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,298,5,08 CF 01 BB 26 
21,0.005 271 375,"Idle","Task Ready","Task 0xCF",42171,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,303,5,06 CF 01 86 04 
22,0.005 409 125,"Idle","xQueueGenericCreate","uxQueueLength=10 uxItemSize=16 ucQueueType=0",43273,0x0000000000000000,0x0000000000000000,0x0000000000000000,115,308,7,73 03 0A 10 00 CE 08 
23,0.005 483 000,"Idle","vQueueAddToRegistry","xQueue=0x20001010 pcName=134263916",43864,0x0000000000000000,0x0000000000000000,0x0000000000000000,113,315,10,71 06 84 08 EC E8 82 40 CF 04 
24,0.006 525 625,"Idle","Task Create","Tmr Svc (0x00000166)",52205,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,325,5,08 E6 02 95 41 
25,0.006 656 500,"Idle","Task Info","Tmr Svc (0x00000166): Priority=2",53252,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,330,14,09 E6 02 02 07 54 6D 72 20 53 76 63 97 08 
26,0.006 725 125,"Idle","Stack Info","Tmr Svc (0x00000166): 956 @ 0x200005F4",53801,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,344,13,15 E6 02 F4 8B 80 80 02 BC 07 00 A5 04 
27,0.006 782 250,"Idle","Task Ready","Tmr Svc, runs after 2.026 ms",54258,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,357,5,06 E6 02 C9 03 
28,0.006 929 625,"Idle","vTaskDelay","xTicksToDelay=1",55437,0x0000000000000000,0x0000000000000000,0x0000000000000000,35,362,5,23 01 01 9B 09 
29,0.006 993 375,"Idle","Task Block","SystemTask, Delayed",55947,0x0000000000000000,0x0000000000000000,0x0000000000000000,7,367,6,07 D0 0C 04 FE 03 
30,0.007 108 625,"Tarefa_T1","Task Run","Runs for 164.875 us",56869,0x0000000000000000,0x0000000800000518,0x0000000800000518,4,373,5,04 98 0A 9A 07 
31,0.007 273 500,"Tarefa_T1","Task Block","Reason=27",58188,0x0000000800000518,0x0000000800000518,0x0000000400000000,7,378,6,07 98 0A 1B A7 0A 
32,0.007 402 250,"Tarefa_T2","Task Run","Runs for 468.750 us",59218,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,384,5,04 B4 0B 86 08 
33,0.007 693 250,"Tarefa_T2","xQueueGenericSend","xQueue=0x20001070 pvItemToQueue=0x20000290 xTicksToWait=4294967295 xCopyPosition=0",61546,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,90,389,17,5A 0D 9C 08 90 85 80 80 02 FF FF FF FF 0F 00 98 12 
34,0.007 786 750,"Tarefa_T2","Task Ready","Tarefa_T1, runs after 84.250 us",62294,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,6,406,5,06 98 0A EC 05 
35,0.007 871 000,"Tarefa_T1","Task Run","Runs for 175.500 us",62968,0x00000008000005B4,0x0000000800000518,0x0000000800000518,4,411,5,04 98 0A A2 05 
36,0.007 922 000,"SysTick","ISR Enter","Runs for 124.500 us",63376,0x0000000800000518,0x000000010000000F,0x000000010000000F,2,416,4,02 0F 98 03 
37,0.007 986 125,"SysTick","Task Ready","SystemTask, runs after 4.148 ms",63889,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,420,5,06 D0 0C 81 04 
38,0.008 046 500,"SysTick","ISR Exit","Returns to Scheduler",64372,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,425,3,12 E3 03 
39,0.008 110 250,"SystemTask","Task Run","Runs for 129.000 us",64882,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,428,5,04 D0 0C FE 03 
40,0.008 174 875,"SystemTask","vTaskDelay","xTicksToDelay=1",65399,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,433,5,23 01 01 85 04 
41,0.008 239 250,"SystemTask","Task Block","Delayed",65914,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,438,6,07 D0 0C 04 83 04 
42,0.008 355 375,"Tarefa_T1","Task Run","Runs for 349.500 us",66843,0x0000000400000000,0x0000000800000518,0x0000000800000518,4,444,5,04 98 0A A1 07 
43,0.008 463 875,"Tarefa_T1","xQueueGenericReceive","xQueue=0x20001070 pvBuffer=0x38000000 xTicksToWait=4294967295 xJustPeek=1",67711,0x0000000800000518,0x0000000800000518,0x0000000800000518,92,449,17,5C 0D 9C 08 80 80 80 C0 03 FF FF FF FF 0F 01 E4 06 
44,0.008 641 000,"Tarefa_T1","vTaskDelayUntil","",69128,0x0000000800000518,0x0000000800000518,0x0000000800000518,36,466,4,24 00 89 0B 
45,0.008 704 875,"Tarefa_T1","Task Block","Delayed",69639,0x0000000800000518,0x0000000800000518,0x0000000400000000,7,470,6,07 98 0A 04 FF 03 
46,0.008 809 000,"Tmr Svc","Task Run","Runs for 255.000 us",70472,0x0000000400000000,0x0000000800000166,0x0000000800000166,4,476,5,04 E6 02 C1 06 
47,0.008 882 125,"SysTick","ISR Enter","Runs for 46.125 us",71057,0x0000000800000166,0x000000010000000F,0x000000010000000F,2,481,4,02 0F C9 04 
48,0.008 928 250,"SysTick","ISR Exit","Returns to Tmr Svc",71426,0x000000010000000F,0x000000010000000F,0x0000000800000166,3,485,3,03 F1 02 
49,0.009 002 250,"Tmr Svc","vTaskDelayUntil","",72018,0x0000000800000166,0x0000000800000166,0x0000000800000166,36,488,4,24 00 D0 04 
50,0.009 064 000,"Tmr Svc","Task Block","Reason=27",72512,0x0000000800000166,0x0000000800000166,0x0000000400000000,7,492,6,07 E6 02 1B EE 03 
51,0.009 183 500,"Scheduler","Task Ready","SystemTask, runs after 94.000 us",73468,0x0000000400000000,0x0000000400000000,0x0000000400000000,6,498,5,06 D0 0C BC 07 
52,0.009 277 500,"SystemTask","Task Run","Runs for 129.000 us",74220,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,503,5,04 D0 0C F0 05 
53,0.009 342 125,"SystemTask","vTaskDelay","xTicksToDelay=1",74737,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,508,5,23 01 01 85 04 
54,0.009 406 500,"SystemTask","Task Block","Delayed",75252,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,513,6,07 D0 0C 04 83 04 
55,0.009 525 750,"Tarefa_T2","Task Run","Runs for 156.750 us",76206,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,519,5,04 B4 0B BA 07 
56,0.009 618 625,"Tarefa_T2","vTaskDelayUntil","",76949,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,36,524,4,24 00 E7 05 
57,0.009 682 500,"Tarefa_T2","Task Block","Delayed",77460,0x00000008000005B4,0x00000008000005B4,0x0000000400000000,7,528,6,07 B4 0B 04 FF 03 
58,0.009 784 250,"Idle","System Idle","Idle for 224.500 us",78274,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,534,3,11 AE 06 
59,0.009 882 125,"SysTick","ISR Enter","Runs for 126.625 us",79057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,537,4,02 0F 8F 06 
60,0.009 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",79570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,541,5,06 D0 0C 81 04 
61,0.010 008 750,"SysTick","ISR Exit","Returns to Scheduler",80070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,546,3,12 F4 03 
62,0.010 072 500,"SystemTask","Task Run","Runs for 129.000 us",80580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,549,5,04 D0 0C FE 03 
63,0.010 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",81097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,554,5,23 01 01 85 04 
64,0.010 201 500,"SystemTask","Task Block","Delayed",81612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,559,6,07 D0 0C 04 83 04 
65,0.010 319 750,"Idle","System Idle","Idle for 689.000 us",82558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,565,3,11 B2 07 
66,0.010 882 125,"SysTick","ISR Enter","Runs for 126.625 us",87057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,568,4,02 0F 93 23 
67,0.010 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",87570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,572,5,06 D0 0C 81 04 
68,0.011 008 750,"SysTick","ISR Exit","Returns to Scheduler",88070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,577,3,12 F4 03 
69,0.011 072 500,"SystemTask","Task Run","Runs for 129.000 us",88580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,580,5,04 D0 0C FE 03 
70,0.011 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",89097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,585,5,23 01 01 85 04 
71,0.011 201 500,"SystemTask","Task Block","Delayed",89612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,590,6,07 D0 0C 04 83 04 
72,0.011 319 750,"Idle","System Idle","Idle for 689.000 us",90558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,596,3,11 B2 07 
73,0.011 882 125,"SysTick","ISR Enter","Runs for 126.625 us",95057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,599,4,02 0F 93 23 
74,0.011 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",95570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,603,5,06 D0 0C 81 04 
75,0.012 008 750,"SysTick","ISR Exit","Returns to Scheduler",96070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,608,3,12 F4 03 
76,0.012 072 500,"SystemTask","Task Run","Runs for 129.000 us",96580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,611,5,04 D0 0C FE 03 
77,0.012 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",97097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,616,5,23 01 01 85 04 
78,0.012 201 500,"SystemTask","Task Block","Delayed",97612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,621,6,07 D0 0C 04 83 04 
79,0.012 319 750,"Idle","System Idle","Idle for 689.000 us",98558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,627,3,11 B2 07 
80,0.012 882 125,"SysTick","ISR Enter","Runs for 126.625 us",103057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,630,4,02 0F 93 23 
81,0.012 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",103570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,634,5,06 D0 0C 81 04 
82,0.013 008 750,"SysTick","ISR Exit","Returns to Scheduler",104070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,639,3,12 F4 03 
83,0.013 072 500,"SystemTask","Task Run","Runs for 129.000 us",104580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,642,5,04 D0 0C FE 03 
84,0.013 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",105097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,647,5,23 01 01 85 04 
85,0.013 201 500,"SystemTask","Task Block","Delayed",105612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,652,6,07 D0 0C 04 83 04 
86,0.013 319 750,"Idle","System Idle","Idle for 689.000 us",106558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,658,3,11 B2 07 
87,0.013 882 125,"SysTick","ISR Enter","Runs for 126.625 us",111057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,661,4,02 0F 93 23 
88,0.013 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",111570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,665,5,06 D0 0C 81 04 
89,0.014 008 750,"SysTick","ISR Exit","Returns to Scheduler",112070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,670,3,12 F4 03 
90,0.014 072 500,"SystemTask","Task Run","Runs for 129.000 us",112580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,673,5,04 D0 0C FE 03 
91,0.014 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",113097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,678,5,23 01 01 85 04 
92,0.014 201 500,"SystemTask","Task Block","Delayed",113612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,683,6,07 D0 0C 04 83 04 
93,0.014 319 750,"Idle","System Idle","Idle for 689.000 us",114558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,689,3,11 B2 07 
94,0.014 882 125,"SysTick","ISR Enter","Runs for 126.625 us",119057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,692,4,02 0F 93 23 
95,0.014 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",119570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,696,5,06 D0 0C 81 04 
96,0.015 008 750,"SysTick","ISR Exit","Returns to Scheduler",120070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,701,3,12 F4 03 
97,0.015 072 500,"SystemTask","Task Run","Runs for 129.000 us",120580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,704,5,04 D0 0C FE 03 
98,0.015 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",121097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,709,5,23 01 01 85 04 
99,0.015 201 500,"SystemTask","Task Block","Delayed",121612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,714,6,07 D0 0C 04 83 04 
100,0.015 319 750,"Idle","System Idle","Idle for 689.000 us",122558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,720,3,11 B2 07 
101,0.015 882 125,"SysTick","ISR Enter","Runs for 126.625 us",127057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,723,4,02 0F 93 23 
102,0.015 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",127570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,727,5,06 D0 0C 81 04 
103,0.016 008 750,"SysTick","ISR Exit","Returns to Scheduler",128070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,732,3,12 F4 03 
104,0.016 072 500,"SystemTask","Task Run","Runs for 129.000 us",128580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,735,5,04 D0 0C FE 03 
105,0.016 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",129097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,740,5,23 01 01 85 04 
106,0.016 201 500,"SystemTask","Task Block","Delayed",129612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,745,6,07 D0 0C 04 83 04 
107,0.016 322 875,"Idle","System Idle","Idle for 827.500 us",130583,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,751,3,11 CB 07 
108,0.016 882 125,"SysTick","ISR Enter","Runs for 268.250 us",135057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,754,4,02 0F FA 22 
109,0.016 946 250,"SysTick","Task Ready","Tarefa_T1, runs after 512.125 us",135570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,758,5,06 98 0A 81 04 
110,0.017 018 500,"SysTick","Task Ready","Tarefa_T2, runs after 758.875 us",136148,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,763,5,06 B4 0B C2 04 
111,0.017 090 000,"SysTick","Task Ready","SystemTask, runs after 124.125 us",136720,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,768,5,06 D0 0C BC 04 
112,0.017 150 375,"SysTick","ISR Exit","Returns to Scheduler",137203,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,773,3,12 E3 03 
113,0.017 214 125,"SystemTask","Task Run","Runs for 129.000 us",137713,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,776,5,04 D0 0C FE 03 
114,0.017 278 750,"SystemTask","vTaskDelay","xTicksToDelay=1",138230,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,781,5,23 01 01 85 04 
115,0.017 343 125,"SystemTask","Task Block","Delayed",138745,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,786,6,07 D0 0C 04 83 04 
116,0.017 458 375,"Tarefa_T1","Task Run","Runs for 190.250 us",139667,0x0000000400000000,0x0000000800000518,0x0000000800000518,4,792,5,04 98 0A 9A 07 
117,0.017 648 625,"Tarefa_T1","Task Block","Reason=27",141189,0x0000000800000518,0x0000000800000518,0x0000000400000000,7,797,6,07 98 0A 1B F2 0B 
118,0.017 777 375,"Tarefa_T2","Task Run","Runs for 229.250 us",142219,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,803,5,04 B4 0B 86 08 
119,0.017 882 125,"SysTick","ISR Enter","Runs for 124.500 us",143057,0x00000008000005B4,0x000000010000000F,0x000000010000000F,2,808,4,02 0F C6 06 
120,0.017 946 250,"SysTick","Task Ready","SystemTask, runs after 124.125 us",143570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,812,5,06 D0 0C 81 04 
121,0.018 006 625,"SysTick","ISR Exit","Returns to Scheduler",144053,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,817,3,12 E3 03 
122,0.018 070 375,"SystemTask","Task Run","Runs for 129.000 us",144563,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,820,5,04 D0 0C FE 03 
123,0.018 135 000,"SystemTask","vTaskDelay","xTicksToDelay=1",145080,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,825,5,23 01 01 85 04 
124,0.018 199 375,"SystemTask","Task Block","Delayed",145595,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,830,6,07 D0 0C 04 83 04 
125,0.018 318 625,"Tarefa_T2","Task Run","Runs for 485.625 us",146549,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,836,5,04 B4 0B BA 07 
126,0.018 626 500,"Tarefa_T2","xQueueGenericSend","xQueue=0x20001070 pvItemToQueue=0x20000290 xTicksToWait=4294967295 xCopyPosition=0",149012,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,90,841,17,5A 0D 9C 08 90 85 80 80 02 FF FF FF FF 0F 00 9F 13 
127,0.018 720 000,"Tarefa_T2","Task Ready","Tarefa_T1, runs after 84.250 us",149760,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,6,858,5,06 98 0A EC 05 
128,0.018 804 250,"Tarefa_T1","Task Run","Runs for 296.250 us",150434,0x00000008000005B4,0x0000000800000518,0x0000000800000518,4,863,5,04 98 0A A2 05 
129,0.018 912 125,"Tarefa_T1","xQueueGenericReceive","xQueue=0x20001070 pvBuffer=0x38000000 xTicksToWait=4294967295 xJustPeek=1",151297,0x0000000800000518,0x0000000800000518,0x0000000800000518,92,868,17,5C 0D 9C 08 80 80 80 C0 03 FF FF FF FF 0F 01 DF 06 
130,0.018 976 000,"SysTick","ISR Enter","Runs for 124.500 us",151808,0x0000000800000518,0x000000010000000F,0x000000010000000F,2,885,4,02 0F FF 03 
131,0.019 040 125,"SysTick","Task Ready","SystemTask, runs after 124.125 us",152321,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,889,5,06 D0 0C 81 04 
132,0.019 100 500,"SysTick","ISR Exit","Returns to Scheduler",152804,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,894,3,12 E3 03 
133,0.019 164 250,"SystemTask","Task Run","Runs for 129.000 us",153314,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,897,5,04 D0 0C FE 03 
134,0.019 228 875,"SystemTask","vTaskDelay","xTicksToDelay=1",153831,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,902,5,23 01 01 85 04 
135,0.019 293 250,"SystemTask","Task Block","Delayed",154346,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,907,6,07 D0 0C 04 83 04 
136,0.019 409 375,"Tarefa_T1","Task Run","Runs for 246.000 us",155275,0x0000000400000000,0x0000000800000518,0x0000000800000518,4,913,5,04 98 0A A1 07 
137,0.019 591 500,"Tarefa_T1","vTaskDelayUntil","",156732,0x0000000800000518,0x0000000800000518,0x0000000800000518,36,918,4,24 00 B1 0B 
138,0.019 655 375,"Tarefa_T1","Task Block","Delayed",157243,0x0000000800000518,0x0000000800000518,0x0000000400000000,7,922,6,07 98 0A 04 FF 03 
139,0.019 760 375,"Tarefa_T2","Task Run","Runs for 222.000 us",158083,0x0000000400000000,0x00000008000005B4,0x00000008000005B4,4,928,5,04 B4 0B C8 06 
140,0.019 824 000,"Tarefa_T2","vTaskDelayUntil","",158592,0x00000008000005B4,0x00000008000005B4,0x00000008000005B4,36,933,4,24 00 FD 03 
141,0.019 882 125,"SysTick","ISR Enter","Runs for 46.125 us",159057,0x00000008000005B4,0x000000010000000F,0x000000010000000F,2,937,4,02 0F D1 03 
142,0.019 928 250,"SysTick","ISR Exit","Returns to Tarefa_T2",159426,0x000000010000000F,0x000000010000000F,0x00000008000005B4,3,941,3,03 F1 02 
143,0.019 982 375,"Tarefa_T2","Task Block","Delayed",159859,0x00000008000005B4,0x00000008000005B4,0x0000000400000000,7,944,6,07 B4 0B 04 B1 03 
144,0.020 077 375,"Scheduler","Task Ready","SystemTask, runs after 94.000 us",160619,0x0000000400000000,0x0000000400000000,0x0000000400000000,6,950,5,06 D0 0C F8 05 
145,0.020 171 375,"SystemTask","Task Run","Runs for 129.000 us",161371,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,955,5,04 D0 0C F0 05 
146,0.020 236 000,"SystemTask","vTaskDelay","xTicksToDelay=1",161888,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,960,5,23 01 01 85 04 
147,0.020 300 375,"SystemTask","Task Block","Delayed",162403,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,965,6,07 D0 0C 04 83 04 
148,0.020 418 625,"Idle","System Idle","Idle for 590.125 us",163349,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,971,3,11 B2 07 
149,0.020 882 125,"SysTick","ISR Enter","Runs for 126.625 us",167057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,974,4,02 0F FC 1C 
150,0.020 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",167570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,978,5,06 D0 0C 81 04 
151,0.021 008 750,"SysTick","ISR Exit","Returns to Scheduler",168070,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,983,3,12 F4 03 
152,0.021 072 500,"SystemTask","Task Run","Runs for 129.000 us",168580,0x0000000400000000,0x0000000800000650,0x0000000800000650,4,986,5,04 D0 0C FE 03 
153,0.021 137 125,"SystemTask","vTaskDelay","xTicksToDelay=1",169097,0x0000000800000650,0x0000000800000650,0x0000000800000650,35,991,5,23 01 01 85 04 
154,0.021 201 500,"SystemTask","Task Block","Delayed",169612,0x0000000800000650,0x0000000800000650,0x0000000400000000,7,996,6,07 D0 0C 04 83 04 
155,0.021 319 750,"Idle","System Idle","Idle for 689.000 us",170558,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,1002,3,11 B2 07 
156,0.021 882 125,"SysTick","ISR Enter","Runs for 126.625 us",175057,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,1005,4,02 0F 93 23 
157,0.021 946 250,"SysTick","Task Ready","SystemTask, runs after 126.250 us",175570,0x000000010000000F,0x000000010000000F,0x000000010000000F,6,1009,5,06 D0 0C 81 04 
